"學年度","國籍別/縣市別","幼兒園男小計","幼兒園女小計","國小男小計","國小女小計","國中男小計","國中女小計"
104,國籍別大陸地區,0,0,28030,25071,13504,13026
104,國籍別越南,0,0,29060,26448,14769,14350
104,國籍別印尼,0,0,6220,5624,5170,5021
104,國籍別泰國,0,0,1227,1117,767,715
104,國籍別菲律賓,0,0,1388,1339,935,821
104,國籍別柬埔寨,0,0,1505,1410,870,954
104,國籍別日本,0,0,468,435,177,162
104,國籍別馬來西亞,0,0,511,465,247,266
104,國籍別美國,0,0,398,345,105,95
104,國籍別南韓,0,0,229,200,100,100
104,國籍別緬甸,0,0,672,637,355,372
104,國籍別新加坡,0,0,54,59,33,46
104,國籍別加拿大,0,0,126,132,34,39
104,國籍別其他,0,0,691,621,232,208
104,縣市別新北市,0,0,12495,11197,5699,5756
104,縣市別臺北市,0,0,4790,4362,2355,2318
104,縣市別桃園市,0,0,8200,7343,4409,4208
104,縣市別臺中市,0,0,7236,6853,3866,3733
104,縣市別臺南市,0,0,4923,4295,2518,2545
104,縣市別高雄市,0,0,7317,6884,4128,3786
104,縣市別宜蘭縣,0,0,1380,1219,669,611
104,縣市別新竹縣,0,0,2209,1947,1170,1120
104,縣市別苗栗縣,0,0,2498,2219,1436,1329
104,縣市別彰化縣,0,0,4192,3866,2471,2302
104,縣市別南投縣,0,0,1775,1625,1141,1054
104,縣市別雲林縣,0,0,2889,2603,1708,1657
104,縣市別嘉義縣,0,0,2297,2023,1227,1369
104,縣市別屏東縣,0,0,2892,2590,1545,1524
104,縣市別臺東縣,0,0,643,561,323,291
104,縣市別花蓮縣,0,0,717,703,385,400
104,縣市別澎湖縣,0,0,387,371,215,191
104,縣市別基隆市,0,0,1232,1036,696,732
104,縣市別新竹市,0,0,1275,1149,603,578
104,縣市別嘉義市,0,0,659,577,467,455
104,縣市別金門縣,0,0,494,428,231,182
104,縣市別連江縣,0,0,79,52,36,34
105,國籍別大陸地區,0,0,26554,23602,13740,13247
105,國籍別越南,0,0,24787,22410,16672,16206
105,國籍別印尼,0,0,5232,4741,4721,4474
105,國籍別泰國,0,0,1126,1033,676,650
105,國籍別菲律賓,0,0,1320,1270,843,747
105,國籍別柬埔寨,0,0,1219,1140,888,918
105,國籍別日本,0,0,480,470,181,178
105,國籍別馬來西亞,0,0,510,460,240,227
105,國籍別美國,0,0,382,309,101,88
105,國籍別南韓,0,0,250,207,82,92
105,國籍別緬甸,0,0,591,555,308,314
105,國籍別新加坡,0,0,55,61,27,37
105,國籍別加拿大,0,0,139,131,28,35
105,國籍別其他,0,0,686,632,219,218
105,縣市別新北市,0,0,11230,10050,5964,5918
105,縣市別臺北市,0,0,4386,3997,2499,2416
105,縣市別桃園市,0,0,7499,6661,4521,4307
105,縣市別臺中市,0,0,6673,6165,3953,3858
105,縣市別臺南市,0,0,4367,3842,2745,2610
105,縣市別高雄市,0,0,6603,6109,4233,4013
105,縣市別宜蘭縣,0,0,1192,1111,732,675
105,縣市別新竹縣,0,0,2048,1748,1170,1114
105,縣市別苗栗縣,0,0,2204,1986,1453,1328
105,縣市別彰化縣,0,0,3738,3347,2432,2346
105,縣市別南投縣,0,0,1546,1399,1178,1105
105,縣市別雲林縣,0,0,2555,2283,1763,1769
105,縣市別嘉義縣,0,0,1981,1707,1245,1386
105,縣市別屏東縣,0,0,2414,2137,1641,1633
105,縣市別臺東縣,0,0,536,485,365,338
105,縣市別花蓮縣,0,0,683,655,423,424
105,縣市別澎湖縣,0,0,301,313,228,192
105,縣市別基隆市,0,0,1102,955,752,696
105,縣市別新竹市,0,0,1156,1109,618,610
105,縣市別嘉義市,0,0,575,489,526,464
105,縣市別金門縣,0,0,467,412,244,200
105,縣市別連江縣,0,0,75,61,41,29
106,國籍別大陸地區,9448,8497,25274,22393,13227,12743
106,國籍別越南,4222,3888,20551,18612,17004,16373
106,國籍別印尼,1043,900,4494,4024,3967,3869
106,國籍別泰國,322,295,1059,980,608,619
106,國籍別菲律賓,372,341,1238,1163,726,670
106,國籍別柬埔寨,100,70,925,836,898,908
106,國籍別日本,199,197,484,456,187,173
106,國籍別馬來西亞,241,192,481,465,221,212
106,國籍別美國,156,148,395,312,114,104
106,國籍別南韓,77,61,232,199,91,99
106,國籍別緬甸,127,132,583,529,296,281
106,國籍別新加坡,37,24,52,63,22,40
106,國籍別加拿大,69,91,152,145,40,33
106,國籍別其他,465,475,734,655,205,240
106,縣市別新北市,2922,2652,10173,9163,5788,5754
106,縣市別臺北市,1566,1389,4022,3691,2465,2317
106,縣市別桃園市,2150,1833,7022,6147,4274,4144
106,縣市別臺中市,2089,2050,5967,5609,3792,3746
106,縣市別臺南市,1122,1099,3794,3350,2666,2563
106,縣市別高雄市,1664,1439,5889,5399,4132,3968
106,縣市別宜蘭縣,302,296,1071,968,748,667
106,縣市別新竹縣,529,500,1826,1577,1106,1083
106,縣市別苗栗縣,483,456,1932,1743,1417,1217
106,縣市別彰化縣,854,862,3250,2856,2381,2306
106,縣市別南投縣,348,286,1289,1213,1050,1003
106,縣市別雲林縣,637,527,2269,1946,1695,1684
106,縣市別嘉義縣,394,356,1658,1422,1241,1255
106,縣市別屏東縣,473,443,2072,1789,1692,1672
106,縣市別臺東縣,120,91,486,432,379,328
106,縣市別花蓮縣,163,180,623,560,409,465
106,縣市別澎湖縣,56,61,245,236,229,207
106,縣市別基隆市,280,215,960,837,721,639
106,縣市別新竹市,325,295,1067,999,616,629
106,縣市別嘉義市,164,138,522,440,491,451
106,縣市別金門縣,190,134,448,392,269,236
106,縣市別連江縣,30,26,69,63,45,30
107,國籍別大陸地區,9045,7946,24134,21587,12476,11966
107,國籍別越南,3928,3539,17283,15728,16175,15515
107,國籍別印尼,937,796,4079,3639,3285,3112
107,國籍別泰國,328,280,983,920,587,542
107,國籍別菲律賓,387,331,1167,1090,676,657
107,國籍別柬埔寨,74,62,638,577,879,895
107,國籍別日本,205,206,528,489,199,164
107,國籍別馬來西亞,241,210,483,464,249,228
107,國籍別美國,158,149,428,347,126,113
107,國籍別南韓,80,75,250,207,72,91
107,國籍別緬甸,116,107,571,504,238,274
107,國籍別新加坡,34,24,64,66,18,28
107,國籍別加拿大,83,78,160,163,33,39
107,國籍別其他,549,559,803,708,247,246
107,縣市別新北市,2811,2470,9516,8516,5435,5386
107,縣市別臺北市,1459,1286,3797,3537,2308,2259
107,縣市別桃園市,2070,1828,6654,5802,4074,3854
107,縣市別臺中市,2033,1830,5498,5205,3578,3520
107,縣市別臺南市,1058,1002,3333,3014,2502,2365
107,縣市別高雄市,1528,1363,5272,4717,3905,3860
107,縣市別宜蘭縣,316,277,901,876,698,614
107,縣市別新竹縣,530,468,1665,1475,1054,976
107,縣市別苗栗縣,468,431,1753,1579,1233,1151
107,縣市別彰化縣,905,824,2875,2545,2144,2132
107,縣市別南投縣,339,285,1099,1044,995,904
107,縣市別雲林縣,577,474,2009,1721,1612,1492
107,縣市別嘉義縣,349,338,1432,1232,1140,1086
107,縣市別屏東縣,466,416,1786,1601,1614,1521
107,縣市別臺東縣,94,89,400,375,380,332
107,縣市別花蓮縣,171,164,553,479,401,457
107,縣市別澎湖縣,52,62,199,201,207,194
107,縣市別基隆市,263,207,833,728,668,583
107,縣市別新竹市,320,287,1060,1004,585,551
107,縣市別嘉義市,168,120,473,404,430,383
107,縣市別金門縣,163,119,397,373,253,229
107,縣市別連江縣,25,22,66,61,44,21
108,國籍別大陸地區,7742,6889,23184,20917,11698,11086
108,國籍別越南,3336,3012,15235,13858,14018,13454
108,國籍別印尼,753,683,3652,3298,2686,2576
108,國籍別泰國,271,251,948,857,540,533
108,國籍別菲律賓,396,301,1121,1071,659,653
108,國籍別柬埔寨,39,52,500,436,748,771
108,國籍別日本,198,193,534,502,197,179
108,國籍別馬來西亞,236,219,506,465,243,226
108,國籍別美國,145,130,431,369,119,121
108,國籍別南韓,84,85,252,238,89,101
108,國籍別緬甸,88,84,527,484,249,277
108,國籍別新加坡,26,17,67,74,21,20
108,國籍別加拿大,62,78,176,165,45,53
108,國籍別其他,429,450,840,761,251,260
108,縣市別新北市,2463,2238,8918,8080,4927,4838
108,縣市別臺北市,1307,1104,3547,3334,2115,2101
108,縣市別桃園市,1856,1664,6316,5628,3766,3564
108,縣市別臺中市,1696,1555,5186,4885,3282,3191
108,縣市別臺南市,886,840,3099,2761,2137,2052
108,縣市別高雄市,1231,1142,4834,4366,3590,3414
