"學年度","縣市別","校數","公立校數","12班以下校數","49班以上校數","教師數","公立教師數","職員數","公立職員數","班級數","公立班級數","平均30人以下班級數","平均40人以上班級數","學生數","公立學生數","上學年畢業生數","公立上學年畢業生數"
104,總計,2633,2599,1407,256,97368,95488,8936,8686,52404,51343,50797,229,1214360,1179134,230012,224771
104,臺灣地區,2606,2572,1383,256,96871,94991,8874,8624,52157,51096,50550,229,1210238,1175012,229250,224009
104,新北市,213,208,69,69,14519,14128,989,955,7858,7646,7078,77,201970,194099,37181,36162
104,臺北市,150,141,25,22,9878,9348,1144,1077,4622,4344,4326,108,118471,108033,22024,20300
104,桃園市,190,186,69,31,9078,8986,615,597,5133,5082,4942,0,128444,126897,23883,23726
104,臺中市,235,230,73,37,11795,11520,1007,974,6395,6223,6239,26,157272,151737,29414,28625
104,臺南市,211,210,120,20,7236,7134,751,742,3997,3936,3936,0,92570,90711,17067,16778
104,高雄市,242,242,91,30,10266,10187,947,935,5601,5554,5595,0,134949,133949,25723,25597
104,宜蘭縣,76,76,45,4,2144,2126,246,243,1169,1158,1169,0,23227,22974,4551,4520
104,新竹縣,85,83,53,9,2831,2753,265,259,1566,1520,1531,0,36265,34923,6169,6017
104,苗栗縣,117,117,80,4,2762,2762,290,290,1507,1507,1507,0,29940,29940,5806,5806
104,彰化縣,175,175,99,9,5386,5386,454,454,2987,2987,2987,0,68920,68920,13687,13687
104,南投縣,140,138,108,2,2705,2650,254,233,1466,1426,1466,0,25439,24348,5294,5035
104,雲林縣,155,153,115,3,3415,3350,354,331,1817,1786,1801,0,35903,34932,7274,7094
104,嘉義縣,124,124,96,0,2476,2476,269,269,1327,1327,1327,0,22434,22434,4868,4868
104,屏東縣,167,167,114,1,3668,3668,364,364,2043,2043,2043,0,39629,39629,8240,8240
104,臺東縣,88,88,76,0,1520,1511,225,225,782,777,782,0,11156,11079,2247,2235
104,花蓮縣,103,102,82,1,1886,1821,261,249,992,954,974,0,16538,15552,3250,3084
104,澎湖縣,40,40,36,0,585,585,29,29,315,315,315,0,3972,3972,847,847
104,基隆市,43,42,24,2,1469,1413,156,147,768,738,738,0,17341,16290,3386,3235
104,新竹市,32,30,6,9,2092,2027,179,176,1168,1129,1150,18,29694,28489,5186,5000
104,嘉義市,20,20,2,3,1160,1160,75,75,644,644,644,0,16104,16104,3153,3153
104,金馬地區,27,27,24,0,497,497,62,62,247,247,247,0,4122,4122,762,762
104,金門縣,19,19,16,0,398,398,53,53,196,196,196,0,3679,3679,662,662
104,連江縣,8,8,8,0,99,99,9,9,51,51,51,0,443,443,100,100
105,總計,2630,2595,1431,243,95081,93157,8985,8736,51097,50015,49484,210,1173885,1138119,214785,209506
105,臺灣地區,2603,2568,1407,243,94567,92643,8921,8672,50852,49770,49239,210,1169812,1134046,214077,208798
105,新北市,214,209,68,69,14198,13782,996,958,7679,7461,6865,78,195706,187696,35068,33972
105,臺北市,150,141,25,23,9671,9144,1126,1069,4537,4259,4264,108,116496,106158,20281,18593
105,桃園市,190,186,71,28,8940,8846,661,642,5029,4972,4877,0,124604,122860,22459,22301
105,臺中市,235,230,74,35,11611,11325,1003,971,6247,6071,6051,0,153062,147408,27401,26586
105,臺南市,211,210,120,17,7109,7009,747,738,3904,3847,3843,0,89475,87733,16201,15874
105,高雄市,242,242,93,26,9618,9539,958,946,5442,5393,5442,0,129914,128842,23838,23723
105,宜蘭縣,76,76,45,3,2076,2056,255,251,1126,1114,1126,0,22349,22054,4290,4250
