"學年度","學校所在地別","校數總數","公立校數","6班以下校數","49班以上校數","教師總數","公立教師數","職員總數","公立職員數","班級總數","公立班級數","學生總數","公立學生數","上學年畢業生總數","公立上學年畢業生總數"
104,新北市,62,62,4,25,6531,6531,633,633,3896,3511,116039,99774,41560,36101
104,臺北市,61,59,2,18,5345,5296,995,976,2675,2408,75015,63960,28131,24662
104,桃園市,58,57,1,22,5516,5498,616,605,2592,2426,76299,69052,27821,25530
104,臺中市,72,71,4,17,6131,6123,695,688,3237,2928,97447,82683,35715,30883
104,臺南市,60,58,12,10,3742,3678,484,470,2025,1752,58160,47283,22348,18380
104,高雄市,79,79,7,17,5913,5913,733,733,2949,2832,83539,79421,31806,30309
104,宜蘭縣,24,24,3,3,1251,1251,202,202,598,548,16014,14107,5897,5276
104,新竹縣,28,27,4,2,1395,1379,195,190,692,629,19150,16721,6699,6023
104,苗栗縣,30,30,7,2,1292,1292,157,157,677,633,18268,16501,6582,5961
104,彰化縣,36,36,1,8,2757,2757,374,374,1456,1402,42767,39926,15947,15078
104,南投縣,32,31,9,3,1386,1360,215,204,644,598,17256,15894,6474,5947
104,雲林縣,33,30,2,2,1582,1376,272,242,834,651,24178,17710,9046,6780
104,嘉義縣,23,23,2,2,1102,1102,128,128,527,492,14440,13032,5220,4674
104,屏東縣,35,34,4,2,1720,1653,215,203,939,881,26193,23820,10078,9215
104,臺東縣,21,21,9,1,692,692,141,141,302,293,7227,6980,2616,2536
104,花蓮縣,23,23,7,1,950,950,155,155,420,387,10861,9698,3983,3614
104,澎湖縣,14,14,9,1,312,312,50,50,123,123,2670,2670,990,990
104,基隆市,11,11,0,0,713,713,108,108,409,369,11496,9578,4569,3888
104,新竹市,13,12,1,3,1046,1035,131,124,582,535,16662,14951,5795,5237
104,嘉義市,8,8,0,2,761,761,88,88,376,314,11640,9044,4506,3675
104,金門縣,5,5,1,0,200,200,48,48,81,81,2144,2144,730,730
104,連江縣,5,5,5,0,57,57,24,24,18,18,259,259,115,115
105,新北市,62,62,3,22,6209,6209,639,639,3687,3308,106199,90504,39815,34510
105,臺北市,61,59,2,15,5179,5130,988,968,2576,2310,69178,58325,26842,23218
105,桃園市,59,57,2,20,5414,5392,638,619,2471,2302,70471,63148,27044,24702
105,臺中市,72,71,4,14,5776,5769,679,674,3077,2765,89408,75088,35003,30051
105,臺南市,60,58,13,9,3511,3452,473,461,1869,1612,53089,42891,21204,17327
105,高雄市,79,79,8,15,5557,5557,744,744,2764,2653,76167,72487,30062,28550
105,宜蘭縣,24,24,3,2,1208,1208,198,198,562,517,14783,12985,5742,5108
105,新竹縣,29,28,5,1,1349,1331,195,190,660,600,18044,15724,6762,5998
105,苗栗縣,30,30,8,1,1229,1229,152,152,637,594,16836,15143,6389,5779
105,彰化縣,36,36,1,8,2610,2610,363,363,1369,1313,39679,36815,15429,14538
105,南投縣,32,31,10,2,1323,1296,207,194,600,560,15716,14466,6127,5666
